id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
102,DTA022140182N,null,DTA022140182N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
103,DTA019593761N,null,DTA019593761N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
104,DSD019153698N,null,DSD019153698N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
105,DKT022660082N,null,DKT022660082N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
106,DKF022266818N,null,DKF022266818N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
107,DHD022458811N,null,DHD022458811N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
108,DHD016939849N,null,DHD016939849N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
109,DFS022561686N,null,DFS022561686N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
110,DBT021855232N,null,DBT021855232N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
111,CNA022391854N,null,CNA022391854N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
112,CNA022223082N,null,CNA022223082N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
113,CJS021390907N,null,CJS021390907N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
114,CHK021050241N,null,CHK021050241N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
115,CHH018568692N,null,CHH018568692N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
116,CHA022147510N,null,CHA022147510N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
117,CCR023761809N,null,CCR023761809N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
118,CCR022284191N,null,CCR022284191N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
119,CBG022165066N,null,CBG022165066N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
120,CBA021923664N,null,CBA021923664N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
121,BWB021445653N,null,BWB021445653N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
122,BMO016911044N,null,BMO016911044N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
123,BFB022445824N,null,BFB022445824N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
124,BBS021539482N,null,BBS021539482N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
125,BBM022730756N,null,BBM022730756N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
126,BBM017420910N,null,BBM017420910N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
127,ACP022470408N,null,ACP022470408N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
128,ACP022012943N,null,ACP022012943N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
129,ABA022867261N,null,ABA022867261N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
130,XXX024325263N,null,XXX024325263N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
131,XXX022862582N,null,XXX022862582N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
132,XXX021716933N,null,XXX021716933N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
133,XXX021695300N,null,XXX021695300N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
134,XXX021679728N,null,XXX021679728N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
135,XXX000709318N,null,XXX000709318N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
136,WWL023831969N,null,WWL023831969N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
137,WWL023030193N,null,WWL023030193N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
