id,pno,sku_id,item_sku_key,ad_channel,merchant_business_id,catalog_feed_id,catalog_feed_name,handle_status,handle_status_desc,deleted,create_time,update_time,operator_name,operator_user_id
170,WWB023452599N,null,WWB023452599N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
171,SFT022705817N,null,SFT022705817N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
173,SCB022535319N,null,SCB022535319N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
174,SBA022217414N,null,SBA022217414N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
175,PCS023614850N,null,PCS023614850N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
176,PAW021419892N,null,PAW021419892N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
177,PAW020892718N,null,PAW020892718N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
180,OAL021989660N,null,OAL021989660N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
182,MTT022423163N,null,MTT022423163N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
184,MDW024019911N,null,MDW024019911N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
185,LLI021786078N,null,LLI021786078N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
186,HLR022517369N,null,HLR022517369N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
188,HET022457774N,null,HET022457774N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
189,ESO021540291N,null,ESO021540291N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
190,ESD021264770N,null,ESD021264770N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
192,TET018051071N,null,TET018051071N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
193,EMP021612796N,null,EMP021612796N,facebook,null,634487371172854,WholeeShopping-Multi,01,已处理,0,2022-10-10 05:58:33,2022-10-10 05:58:33,null,null
